project_id	project_fasta_id	source_id	species_short_code	uniprot_accession	NCBI_taxon_id	original_gene_symbol	protein_name	reviewed_status	sequence_length	sequence_sha256
MB	MB|P02144|9606|Hsap	Hsap|P02144|MB	Hsap	P02144	9606	MB	Myoglobin	reviewed	154	bac6fdad1c0e60c1c97738282c8d247ab269c726b9878a1ad4a7d61386b1c277
MB	MB|P02185|9755|Pmac	Pmac|P02185|MB	Pmac	P02185	9755	MB	Myoglobin	reviewed	154	fe026b8204820ec918b95f461790bcdba78587a956209f84c541f65e2ef268c0
MB	MB|A0A8C0D084|9771|Bmus	Bmus|A0A8C0D084|MB	Bmus	A0A8C0D084	9771	MB	Myoglobin	unreviewed	154	d0982a15cfae0a2d477136d13bd0e37d7b4778b63c47644c4b477568488ac8c2
MB	MB|P02192|9913|Btau	Btau|P02192|MB	Btau	P02192	9913	MB	Myoglobin	reviewed	154	758d7b0222a04da1b532db98926856e8604f9d9090ed17bc29c7e4fac8a025bf
MB	MB|P02189|9823|Sscr	Sscr|P02189|MB	Sscr	P02189	9823	MB	Myoglobin	reviewed	154	5ad0a1ce79fe587d4eed1d5910a4a59cc9628d2e6a1c6992a86ac0bb784394cb
MB	MB|A0A2U3X238|9708|Oros	Oros|A0A2U3X238|MB	Oros	A0A2U3X238	9708	MB	Myoglobin	unreviewed	154	82e70acfab5305166f7bf90167a51c68eae54184095485c1d390483e95905a19
MB	MB|P02161|9704|Zcal	Zcal|P02161|MB	Zcal	P02161	9704	MB	Myoglobin	reviewed	154	f490f6ef2856146039d5e48156ef17f5086fb41d84a1569a8122f6e2de2aef5a
MB	MB|P63113|9615|Clup	Clup|P63113|MB	Clup	P63113	9615	MB	Myoglobin	reviewed	154	9463a99676675a9fab68d8d4fc4dba6499406ce9d85f80ac60ec854a9b4057fa
MB	MB|A0A8U0SD72|9669|Mfur	Mfur|A0A8U0SD72|MB	Mfur	A0A8U0SD72	9669	MB	Myoglobin	unreviewed	154	e57886e560f0f45581118d9d1cfe960c9058d1a324ce5fb708ef08e97dd2b8b0
MB	MB|A0A2Y9DG99|127582|Tman	Tman|A0A2Y9DG99|MB	Tman	A0A2Y9DG99	127582	MB	Myoglobin	unreviewed	154	ddf3eb2de7a616531be6b2b696c547bca887c038068d1ab0d3697b798e2feb88
MB	MB|G5E7F2|9785|Lafr	Lafr|G5E7F2|MB	Lafr	G5E7F2	9785	MB	Myoglobin	unreviewed	154	8716c8779b2ef0e54b5f6a77b47806b06d97d0e4295203926afb823860663564
MB	MB|P02187|9785|Lafr	Lafr|P02187|MB	Lafr	P02187	9785	MB	Myoglobin	reviewed	154	0dda20e5211d90c614ec835578e63c747e58acefbb3c3710d5857b07adfeb132
